

MESSAGE: Pygame initialized for simulation.

RUN: run status: enemy: 5; fitness: 86.02473399856038; player life: 23.200000000000244; enemy life: 0; time: 542

RUN: run status: enemy: 5; fitness: -3.0277552789821085; player life: 38.80000000000028; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 2.519955438073347; player life: 0; enemy life: 90.0; time: 652

RUN: run status: enemy: 5; fitness: -6.829793737512425; player life: 0; enemy life: 100; time: 925

RUN: run status: enemy: 5; fitness: -1.7077552789821056; player life: 52.00000000000031; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 1.7722447210178753; player life: 86.80000000000013; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 20.072244721017874; player life: 89.8000000000001; enemy life: 80.0; time: 1000

RUN: run status: enemy: 5; fitness: -1.2877552789821038; player life: 56.20000000000032; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 2.4589700008100968; player life: 0; enemy life: 90.0; time: 693

RUN: run status: enemy: 5; fitness: -2.547755278982107; player life: 43.60000000000029; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 11.830389267508544; player life: 0; enemy life: 80.0; time: 478

RUN: run status: enemy: 5; fitness: 11.65611956587367; player life: 0; enemy life: 80.0; time: 569

RUN: run status: enemy: 5; fitness: 47.32670203223235; player life: 0; enemy life: 40.0; time: 791

RUN: run status: enemy: 5; fitness: 1.7122447210178766; player life: 86.20000000000013; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 14.252244721017888; player life: 31.600000000000264; enemy life: 80.0; time: 1000

RUN: run status: enemy: 5; fitness: 3.032244721017886; player life: 9.400000000000231; enemy life: 90.0; time: 1000

RUN: run status: enemy: 5; fitness: -6.386879319362645; player life: 0; enemy life: 100; time: 594

RUN: run status: enemy: 5; fitness: 6.212244721017893; player life: 41.20000000000029; enemy life: 90.0; time: 1000

RUN: run status: enemy: 5; fitness: 0.0922447210178916; player life: 70.00000000000028; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 20.19224472101787; player life: 91.00000000000009; enemy life: 80.0; time: 1000

RUN: run status: enemy: 5; fitness: 1.4722447210178782; player life: 83.80000000000015; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 91.9209073455395; player life: 77.20000000000022; enemy life: 0; time: 330

RUN: run status: enemy: 5; fitness: -1.5877552789821046; player life: 53.200000000000315; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -4.107755278982111; player life: 28.000000000000256; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -3.56775527898211; player life: 33.40000000000027; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -6.313548046277095; player life: 0; enemy life: 100; time: 552

RUN: run status: enemy: 5; fitness: -4.527755278982112; player life: 23.800000000000246; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 2.43224472101787; player life: 93.40000000000006; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 30.57224472101789; player life: 14.800000000000228; enemy life: 60.0; time: 1000

RUN: run status: enemy: 5; fitness: 48.81224472101788; player life: 17.20000000000023; enemy life: 40.0; time: 1000

RUN: run status: enemy: 5; fitness: 2.5735115425423096; player life: 0; enemy life: 90.0; time: 618

RUN: run status: enemy: 5; fitness: 89.49288973525115; player life: 52.00000000000031; enemy life: 0; time: 301

RUN: run status: enemy: 5; fitness: 1.652244721017878; player life: 85.60000000000014; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -2.067755278982106; player life: 48.400000000000304; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 0.512244721017888; player life: 74.20000000000024; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -4.527755278982112; player life: 23.800000000000246; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 2.1093908798528336; player life: 0; enemy life: 90.0; time: 983

RUN: run status: enemy: 5; fitness: 2.6508610086202022; player life: 0; enemy life: 90.0; time: 572

